I'm too short.	Я слишком низкий.
Take your foot off the clutch.	Сними ногу со сцепления.
I don't know how you do that.	Я не знаю, как вы это делаете.
You can't be happy all the time.	Нельзя быть счастливым всё время.
Many trees were cut down.	Много деревьев срубили.
If it ain't broke, don't fix it.	Что не сломалось, не чини.
Tom was waiting for you.	Том вас ждал.
He wanted to destroy it.	Он хотел уничтожить его.
Let's not jump to conclusions.	Не будем делать поспешных выводов!
I'm sorry, but I have a prior engagement.	Прошу прощения, но я связан прежними обязательствами.
Tom ran to catch the train.	Том бежал, чтобы успеть на поезд.
Where did you take your shoes off?	Где Вы разулись?
Yours is worse.	Твоё хуже.
Tom called Mary this morning.	Том звонил Мэри этим утром.
Here's one of my favorites.	Вот один из моих любимых.
I went to bed at midnight.	Я лёг спать в полночь.
The girl wanted to, but could not, tell him the truth.	Девушка хотела, но не могла сказать ему правду.
I needed to see you in person.	Мне надо было увидеть тебя лично.
The tea is too strong. Add some water.	Чай слишком крепкий. Добавь немного воды.
She has been sick since last week.	Она болеет с прошлой недели.
The gun was registered to Tom.	Ружьё было зарегистрировано на Тома.
I never thought I'd win.	Никогда не думал, что выиграю.
Tom helps me in French.	Том помогает мне с французским.
I'm surprised Tom remembers Mary.	Удивительно, что Том помнит Мэри.
I bought a cactus.	Я купил кактус.
Why did you poison Tom?	Почему вы отравили Тома?
It looks like someone has ripped a page out of this book.	Похоже, кто-то вырвал из этой книги страницу.
Everyone was busy.	Все были заняты.
Tom was genuinely happy to see Mary.	Том был искренне рад видеть Мэри.
Do your homework now.	А ну-ка делай уроки.
How many people will come?	Сколько людей придет?
I don't have a choice. I have to do it.	У меня нет выбора. Я должна сделать это.
Aomori is famous for its good apples.	Аомори славится своими вкусными яблоками.
Do you think what she said is a lie?	Думаешь, то, что она сказала, - неправда?
I'm glad you're OK again.	Я рад, что ты снова в порядке.
If you don't remind me, I'll forget.	Если вы мне не напомните, я об этом забуду.
Go when you want.	Уходи когда хочешь.
I saw that he came.	Я видел, как он пришёл.
Neither motorcyclist was wearing a helmet.	Ни на одном из мотоциклистов шлема не было.
Can Tom walk?	Том умеет ходить?
You don't have to do that right now.	Тебе необязательно делать это прямо сейчас.
Never tell the truth when a lie will do.	Никогда не говори правду, если сойдёт и ложь.
Do you have a job?	У вас есть работа?
He doesn't understand you.	Он тебя не понимает.
I don't know what Tom thinks.	Не знаю, что Том думает.
Tom is absent because he's sick.	Том отсутствует, потому что болен.
I'd like to finish the job.	Я хотел бы закончить работу.
Just ignore it.	Просто не обращайте на это внимания!
It's not a coincidence.	Это не совпадение.
You have a fertile imagination.	У тебя богатое воображение.
Have I ever lied to you?	Я тебе когда-нибудь врал?
Is it possible to determine the diameter from the circumference?	Можно ли вычислить диаметр, зная длину окружности?
Tom seemed to be lonely.	Том казался одиноким.
I asked Tom how much he weighed.	Я спросил Тома, сколько он весит.
We'll have a French test next Monday.	В следующий понедельник у нас будет контрольная по французскому.
I won't let Tom go.	Я не отпущу Тома.
I wanted to give Tom a chance.	Я хотел дать Тому шанс.
Did you ask Tom?	Ты спросил Тома?
Once again.	Ещё раз.
I'm in no mood to sing right now.	Я сейчас не в настроении петь.
Why do you want a car?	Зачем тебе машина?
It is necessary for you to work hard.	Тебе необходимо работать напряжённо.
Tom took Mary out on a date.	Том сводил Мэри на свидание.
We were all present at the party.	Мы все были на вечеринке.
You shouldn't have come.	Вам не следовало приходить.
Tom borrowed mine.	Том одолжил мою.
We have three minutes.	У нас три минуты.
Tom took off his glasses and rubbed his forehead.	Том снял очки и потёр лоб.
If I go, you'll be all alone.	Если я уйду, то ты останешься в полном одиночестве.
Do you really want Tom to leave?	Ты действительно хочешь, чтобы Том ушёл?
Tom told me all about it.	Том рассказал мне об этом всё.
We didn't break in.	Мы не вмешались.
I wasn't going to buy anything.	Я не собирался ничего покупать.
Tom told Mary his age.	Том сказал Марии свой возраст.
It doesn't hurt so much.	Это не так больно.
Tom is almost thirty.	Тому почти тридцать.
Tom isn't inside.	Тома внутри нет.
I don't believe him at all.	Я вообще ему не верю.
We'd like to speak with you.	Мы хотели бы с тобой поговорить.
Mary's closet is full of clothes that she never wears.	У Мэри в шкафу полно вещей, которые она вообще не носит.
Tom is very thin.	Том очень худой.
Tom eyed Mary.	Том рассматривал Мэри.
Tom will try to do something about that.	Том попробует что-то с этим сделать.
The restaurant was far from the train station.	Ресторан был далеко от вокзала.
We're a little early.	Мы рановато.
Everyone can make a difference in the world.	Любой может внести в мир свой вклад.
One of us could help you.	Один из нас мог тебе помочь.
I think Tom likes Mary.	Мне кажется, Мэри нравится Тому.
I don't care if you go or not. I'm going anyway.	Мне всё равно, пойдёшь ты или нет. Я в любом случае иду.
I used to think it wasn't a problem.	Я раньше думал, что это не проблема.
Tom tried to kiss Mary.	Том пытался поцеловать Марию.
Millions of people lost their jobs.	Миллионы людей потеряли работу.
I'm not going either.	Я тоже не еду.
Where's the butter?	Где масло?
Did Tom tell Mary how many apples to buy?	Том сказал Мэри, сколько купить яблок?
You need to change your lifestyle.	Тебе надо изменить свой образ жизни.
How exactly did this happen?	Как именно это случилось?
What's the solution?	Каково решение?
Get me a towel.	Принеси мне полотенце.
I got Tom to leave.	Я убедил Тома уйти.
Our plan didn't work.	Наш план не сработал.
May I borrow this book?	Я могу одолжить эту книгу?
Did he hit you?	Он тебя ударил?
He loves trains.	Он обожает поезда.
Do you like camomile tea?	Тебе нравится ромашковый чай?
What is your plan?	Каков ваш план?
I don't usually eat at places like this.	Я обычно не ем в таких местах.
They made me captain.	Они назначили меня капитаном.
Tom is a professional dancer.	Том - профессиональный танцор.
I should go there.	Мне надо бы туда поехать.
You look like a monkey.	Ты выглядишь как обезьяна.
I have a lot to do.	У меня много дел.
What do you mean, you don't remember?	Что значит, не помните?
Tom doesn't know the first thing about programming.	Том ни бум-бум в программировании.
Where's my driver?	Где мой водитель?
He is nothing but a businessman.	Он простой предприниматель.
Why didn't you wake me?	Почему ты меня не разбудил?
Stay away from my stuff.	Держись подальше от моих вещей.
A screw's missing.	Одного винта не хватает.
Tom says he won't wait any longer.	Том говорит, что не будет больше ждать.
You can't be a doctor.	Не может быть, чтобы Вы были врачом.
I'm sure you understand that.	Я уверен, что ты это понимаешь.
Excuse the mess.	Прости за беспорядок.
I heard someone say Tom was sick.	Я слышала, как кто-то сказал, что Том болен.
I only know that Tom isn't happy.	Я знаю только, что Том несчастлив.
You should stop drinking.	Вам надо бросить пить.
She's a dog.	Она собака.
I've got to do this.	Я должен это сделать.
They want you dead.	Они хотят, чтобы ты умер.
Just give me the car keys.	Просто дай мне ключи от машины.
I don't believe a word you're saying.	Я не верю ни одному слову из того, что вы говорите.
It's time for lunch.	Пора обедать.
You're really a hard worker.	Вы по-настоящему хороший работник.
Tom can't go anywhere today.	Том не может сегодня никуда идти.
This will be easy.	Это будет легко.
How many magazines are on the desk?	Сколько на столе журналов?
We're all ready.	Мы все готовы.
She is anxious about her father's health.	Она обеспокоена здоровьем её отца.
If you ask me, reading comics is a complete waste of time.	Я склонен считать чтение комиксов пустой тратой времени.
Tom doesn't even know Mary.	Том даже не знаком с Машей.
It's not easy to do that.	Это нелегко сделать.
I don't think that Tom is cold.	Не думаю, что Тому холодно.
I assure you this isn't just about money.	Уверяю вас, что дело не только в деньгах.
I was brought up in Boston.	Я вырос в Бостоне.
She is very clever.	Она очень умна.
Come what may, I will not break my word.	Будь что будет, я не нарушу своего обещания.
I don't think that I can do that without your help.	Не думаю, что смогу сделать это без твоей помощи.
Let's send Tom a letter of thanks.	Давайте пошлём Тому благодарственное письмо.
How many were on the plane?	Как много людей было в самолёте?
Tom will likely agree.	Том, вероятно, согласится.
When did you go home?	Когда ты пошёл домой?
Where did you get all that money from?	Откуда у тебя эти деньги?
Do you like tomatoes?	Вы любите помидоры?
Who knows what happened?	Кто знает, что произошло?
We were just having a little fun.	Мы просто немного развлекались.
I see you are ready.	Я вижу, Вы готовы.
Can I think about it?	Можно мне это обдумать?
I know Tom has to leave.	Я знаю, что Тому надо уходить.
This is a serious matter.	Это дело серьёзное.
I dreamed about you.	Вы мне снились.
The rain prevented us from finishing our game of tennis.	Из-за дождя мы не закончили нашу игру в теннис.
I'm not giving you any money.	Не дам я тебе никаких денег.
When was the last time you upset your father?	Когда в последний раз ты расстроил своего отца?
Tom argued with Mary about money.	Том поругался с Мэри из-за денег.
What's the meaning of life?	В чём смысл жизни?
He came back after many years.	Он вернулся назад через много лет.
I think you know we have to do that today.	Думаю, ты знаешь, что нам надо сделать это сегодня.
Did you clean your room?	Вы убрались в своей комнате?
Did Tom ever tell you what Mary looked like?	Том вам когда-нибудь говорил, как выглядит Мэри?
You must do that yourself.	Вы должны сделать это сами.
I can jump.	Я могу прыгать.
Look at it.	Посмотри на это.
Tom is always criticizing me.	Том вечно меня критикует.
I didn't like the way that movie ended.	Мне не понравилось, как закончился тот фильм.
Can you smell it?	Ты это чувствуешь?
That's a secret. I can't tell you.	Это секрет. Я не могу тебе рассказать.
I don't understand British humor.	Я не понимаю британский юмор.
Let's drink to your health!	Выпьем за твоё здоровье!
I don't like to run.	Мне не нравится бегать.
Look me up sometime.	Загляните ко мне как-нибудь.
Tom angrily stared at Mary.	Том гневно уставился на Мэри.
Tom was obnoxious.	Том был несносен.
The miner discovered a valuable pocket of gold.	Горняк наткнулся на ценное гнездо золота.
Don't leave me alone, please.	Не оставляйте меня одного, пожалуйста.
Tom handed Mary a check for half a million dollars.	Том передал Мэри чек на полмиллиона долларов.
Can you repair it?	Ты можешь это починить?
I am glad to help you.	Рад вам помочь.
You should leave the planning to me.	Ты должна оставить планирование мне.
Well, it's complicated.	Что ж, это сложно.
Which one was your favorite?	Какая вам больше нравилась?
We didn't know each other at the time.	Мы тогда не были знакомы.
Where is my seat?	Где моё место?
I knew you'd understand.	Я знал, что вы бы поняли.
Tom is an old man.	Том старик.
Tom is free.	Том свободен.
Why are you all so happy?	Вы чего все такие счастливые?
Could you call me back later?	Вы не могли бы перезвонить мне попозже?
I don't even have a single girlfriend.	У меня даже нет девушки.
I think I'll manage.	Думаю, я справлюсь.
Everyone in the class likes Tom.	Всем в классе нравится Том.
He has finished his work, hasn't he?	Он завершил свою работу, не так ли?
Have you already finished your homework?	Ты уже доделал уроки?
Tom doesn't want to be disturbed.	Том не хочет, чтобы его беспокоили.
You can trust them.	Ты можешь им доверять.
Will you help?	Вы поможете?
Tom and I have helped Mary.	Мы с Томом помогали Мэри.
That's what I wanted to tell you.	Это я и хотел тебе сказать.
I'll be ready to go in five minutes.	Я буду готов к выходу через пять минут.
It's dangerous to play around the fire.	Опасно играть рядом с огнём.
Let's meet at the station at 2:30.	Встречаемся на вокзале в два тридцать.
Your car is on fire.	У тебя машина горит.
How many pens are there on the desk?	Сколько ручек на столе?
I'm sure Tom will be very happy here.	Я уверен, что Том будет здесь очень счастлив.
I think Boston is the most beautiful city in the world.	Я думаю, что Бостон — самый красивый город в мире.
I don't think that Tom knows whether Mary can swim or not.	Не думаю, что Том знает, умеет Мэри плавать или нет.
Do you like peanut butter?	Вам нравится арахисовое масло?
Did you hear what Tom said about Mary?	Ты слышал, что Том про Мэри сказал?
Tom was asleep at that time.	Том тогда спал.
We were meant for each other.	Мы были созданы друг для друга.
I go to the library at least once a week.	Я хожу в библиотеку по крайней мере раз в неделю.
Tom didn't get along well with the other boys in his class.	Том плохо ладил с другими мальчиками в классе.
Tom doesn't plan to wait.	Том не планирует ждать.
I always wanted a daughter.	Я всегда хотел иметь дочь.
You can't just not say anything.	Ты не можешь просто ничего не говорить.
That's not for me to say.	Не мне так говорить.
Tell Tom not to come.	Скажи Тому не приходить.
What's Tom allergic to?	На что у Тома аллергия?
Is Tom looking at me?	Том на меня смотрит?
Tom already told me.	Том мне уже сказал.
I wouldn't mind going someplace else.	Я не против сходить куда-нибудь ещё.
When I want your opinion, I'll ask you for it.	Когда я захочу узнать ваше мнение, я вас спрошу.
My ears are ringing.	У меня в ушах звенит.
You've made a bad mistake.	Ты допустил грубую ошибку.
Tom drank some of Mary's whiskey.	Том выпил немного виски у Мэри.
It's up one floor.	Это этажом выше.
That was too easy.	Это было слишком просто.
Tom likes blondes.	Том любит блондинок.
Yours was better.	Твой был лучше.
You think you're so clever.	Ты считаешь себя очень умным.
Tom's parents died when he was thirteen.	Родители Тома умерли, когда ему было тринадцать.
Tom bought three bottles of wine.	Том купил три бутылки вина.
I was told to stay away from Tom.	Мне сказали, чтобы я держался от Тома подальше.
We need to get back before it gets too late.	Мы должны вернуться, пока не стало слишком поздно.
I got first place.	Я занял первое место.
He took a deep breath.	Он сделал глубокий вдох.
What's happening out there?	Что там происходит?
He delivers newspapers.	Он разносит газеты.
Tom doesn't think Mary will be late.	Том не думает, что Мэри опоздает.
Think about tomorrow.	Думай о завтрашнем дне.
They have enough money for their bills.	У них хватает денег, чтобы оплачивать счета.
I live there by myself.	Я живу там одна.
Tom took Mary to the zoo.	Том сводил Мэри в зоопарк.
Don't rush me.	Не подгоняйте меня.
Does it involve me?	Это меня затрагивает?
Tom spends a lot of time cleaning his gun.	Том тратит массу времени на чистку своего ружья.
Perhaps I'm wrong.	Возможно, я не прав.
I've lost some weight.	Я немного похудел.
You can't do this to us.	Вы не можете так с нами поступить.
The patient is delirious.	Пациент находится в бреду.
Tell the truth.	Скажите правду.
Tom will wait for you.	Том будет тебя ждать.
Present your argument.	Представь свои аргументы.
I'm almost sure of it.	Я в этом почти уверен.
Tom shouldn't have told Mary his password.	Тому не стоило говорить Мэри свой пароль.
I'm a high school math teacher.	Я школьный учитель математики.
You're not a child anymore.	Ты уже не ребёнок.
I'm still not hungry yet.	Я пока не голоден.
Tom stood up suddenly.	Том вдруг поднялся.
Tom should've stayed in Boston.	Тому надо было остаться в Бостоне.
Tom was hiding in the shadows.	Том прятался в тени.
Do I have to answer all of the questions?	Мне на все вопросы отвечать?
You beat me fair and square.	Ты победил меня в честном бою.
This is rather expensive.	Это довольно дорого.
The movie is about to start.	Фильм сейчас начнётся.
I don't want you to wake him up.	Я не хочу, чтобы ты его будил.
Are you doing anything special?	Вы делаете что-то особенное?
You're very disorganized.	Ты очень неорганизованный.
Is the horse black?	Лошадь черная?
Tom knew right away something wasn't right.	Том сразу понял, что что-то не так.
They're trying to help.	Они пытаются помочь.
We need to review the case.	Мы должны просмотреть это дело.
Tom is a nice guy in spite of the fact that he has a lot of money.	Том хоть и богат, но парень неплохой.
He is always saying bad things about others.	Он всегда говорит плохое о других людях.
I'm totally free.	Я полностью свободен.
Tom is good at this sort of thing.	В этих вещах Том силён.
You guys are the best.	Вы лучшие.
Even though I studied French for three years in school, I'm not good at speaking it.	Хотя я изучал французский в школе в течение трёх лет, я всё равно не особо хорошо на нём говорю.
It's been an amazing experience.	Это был невероятный опыт.
Tom did that on purpose.	Том специально это сделал.
Is that dog Tom's?	Это собака Тома?
Are you in favor of the proposal?	Вы склонны к этому предложению?
Tom is the one who told us what to do.	Это Том сказал нам, что делать.
She wanted to become a teacher.	Она хотела стать учительницей.
I don't think we'll get home until after dark.	Не думаю, что мы доберёмся до дома до наступления темноты.
Tom signed the documents.	Том подписал документы.
How much will you pay us?	Сколько вы нам заплатите?
Tom is convinced that Mary is innocent.	Том убеждён, что Мэри невиновна.
Don't get up.	Не вставайте.
I haven't talked to Tom in a very long time.	Я очень давно не говорил с Томом.
The sooner you start, the sooner you'll finish.	Чем быстрее начнёте, тем быстрее закончите.
There isn't anywhere else to park.	Больше припарковаться негде.
You're so mean.	Вы такие злые.
That's absurd.	Это нелепо.
Tom teaches French to children.	Том учит детей французскому.
The police expect people to follow the law.	Полиция ожидает от людей соблюдения закона.
Please pick up my dry cleaning.	Забери мои вещи из химчистки, пожалуйста.
Tom told me how he got his nickname.	Том рассказал мне, как он получил свое прозвище.
We have room for many more.	У нас есть место ещё для многих.
Tom never told me why he didn't like Mary.	Том никогда не говорил мне, почему ему не нравится Мэри.
You know that that's not true.	Ты знаешь, что это не так.
Why do you like horses?	Почему ты любишь лошадей?
Talk to your friends.	Поговори со своими друзьями.
Tom and I were on the same flight.	Мы с Томом летели одним самолётом.
Tom didn't even flinch.	Том даже не вздрогнул.
I thought you said Tom was your brother.	Ты вроде говорил, что Том - твой брат.
We're lucky that Tom helped us.	Нам повезло, что Том нам помог.
Tom won't come to today's meeting.	Том не придёт сегодня на встречу.
Tom is very decisive.	Том очень решительный.
We didn't want to humiliate Tom.	Мы не хотели унизить Тома.
Where are you going tomorrow?	Куда ты завтра идёшь?
What you've done is absolutely inexcusable.	То, что ты сделал, совершенно непростительно.
What is this for?	Для чего это?
Why did you decide to name your son Tom?	Почему вы решили назвать своего сына Томом?
Are you allergic to anything else?	У тебя есть ещё на что-нибудь аллергия?
I was mistaken.	Я ошибался.
I don't want you to fear me.	Я не хочу, чтобы ты меня боялся.
Tom scolded his son for being lazy.	Том отругал сына за лень.
I don't think Tom will make it.	Не думаю, что у Тома получится.
I'm not a doctor.	Я не врач.
You can leave the room now.	Теперь ты можешь выйти из комнаты.
I need to know what that was.	Мне нужно знать, что это было.
Tom was kidnapped.	Тома похитили.
Raisins are dried grapes.	Изюм – это высушенный виноград.
How can I turn down the air conditioner?	Как мне выключить кондиционер?
How much are these potatoes?	Сколько стоит эта картошка?
Where do you want to live after you retire?	Где ты хочешь жить после выхода на пенсию?
I decided not do that anymore.	Я решил больше этого не делать.
My brother is arriving tomorrow morning.	Мой брат приезжает завтра утром.
I wanted to win.	Мне хотелось победить.
That church on the hill is very old.	Та церковь на холме очень древняя.
I don't need a nap.	Я не нуждаюсь во сне.
Tom and Mary already know that.	Том и Мэри уже знают это.
I don't want to speak ill of the dead.	Я не хочу плохо говорить об умерших.
I don't know how much it cost.	Я не знаю, сколько он стоил.
We brought it with us.	Мы принесли его с собой.
Art is not a luxury, but a necessity.	Искусство — это не роскошь, а необходимость.
I'd like to reserve a seat on this train.	Я хотел бы забронировать место на этом поезде.
He is about my age.	Мы с ним примерно ровесники.
Just look at him.	Ты только посмотри на него.
Tom gets good grades in French.	Том делает хорошие успехи во французском.
Please tell me how to get to Boston.	Пожалуйста, расскажите мне, как добраться до Бостона.
I'm sad without you.	Я грущу без тебя.
Tom had no intention of helping Mary.	Том не намерен был помогать Мэри.
None of my friends drink coffee.	Никто из моих друзей не пьёт кофе.
I don't see the problem here.	Не вижу здесь проблемы.
This car is bigger than that one.	Этот автомобиль больше, чем тот.
I'd like a copy of that document as soon as possible.	Я хотел бы получить копию этого документа так скоро, насколько это возможно.
You have to be flexible.	Вы должны быть гибкими.
How much do you need?	Сколько тебе нужно?
Tom did all of his homework.	Том сделал все уроки.
This is too easy for Tom.	Это слишком просто для Тома.
I thought that Tom didn't have a driver's license.	Я думал, у Тома нет прав.
Can you see the picture?	Ты видишь картинку?
Prices have been rising steadily.	Цены неуклонно растут.
Did you ask Tom why he was leaving?	Ты спросил у Тома, почему он уходит?
Do you have your driver's license?	У тебя есть водительские права?
I don't remember your name.	Я не помню твоего имени.
The economic situation grew worse.	Экономическая ситуация ухудшилась.
The selfish live for themselves alone.	Эгоисты живут только для себя.
Do you still work for Tom?	Вы всё ещё работаете у Тома?
The train arrived on schedule.	Поезд прибыл по расписанию.
I'll get in touch with you again about this matter.	По этому вопросу я свяжусь с вами ещё раз.
If I were you, I wouldn't have done that.	На твоём месте я бы такого не сделал.
Could you give me a ride to the bus stop?	Ты не мог бы подвезти меня до автобусной остановки?
Did you know his name?	Вы знали, как его зовут?
He's not always at home on Sundays.	Он не всегда дома по воскресеньям.
If you don't want me to go, I won't.	Если ты не хочешь, чтобы я ездил, я не поеду.
Listen, we've got to talk.	Послушай, нам надо поговорить.
The village I live in is very small.	Деревня, в которой я живу, очень маленькая.
Please tell me how to pronounce this word.	Скажи мне, пожалуйста, как произносится это слово.
Tom is my dance partner.	Том — мой партнёр по танцам.
He was accused of being a spy.	Его обвинили в шпионаже.
Where're Tom's things?	Где вещи Тома?
That child wants someone to play with.	Тот ребенок хочет с кем-нибудь поиграть.
It won't happen again, I swear.	Клянусь, этого больше не случится.
I don't even know if Tom is still alive.	Я даже не знаю, жив ли ещё Том.
I can't stop sneezing.	Я не могу перестать чихать.
The doctors said he would never again be able to walk without some support.	Врачи сказали, что он уже никогда не сможет ходить без посторонней помощи.
I don't agree with you.	Я с тобой не согласен.
Tom was questioned by the police about what had happened.	Тома допросила полиция о том, что произошло.
The prices go up after six o'clock.	После шести часов цены повышаются.
Let's forget about what happened last night.	Давай забудем о том, что произошло прошлой ночью.
Your house is on fire.	Твой дом горит.
Can I do anything?	Я могу что-нибудь сделать?
Sugar is sweet.	Сахар сладок.
I met him while I was staying in Paris.	Я познакомился с ним, когда был в Париже.
I like sewing.	Я люблю шить.
I left early so as not to be late.	Я уехал рано, чтобы не опоздать.
I assure you Tom will be perfectly safe.	Я вас уверяю, что Том будет в полной безопасности.
We could talk about music.	Мы могли бы поговорить о музыке.
Why do you do this?	Зачем ты это делаешь?
Tom thinks there's a good possibility that Mary will agree to babysit the children on Friday night.	Том думает, что есть шанс на то, что Мэри согласится посидеть с детьми в пятницу вечером.
Please teach me how to drive.	Научите меня водить, пожалуйста.
You are a good student.	Ты хорошая студентка.
I've worked with Tom before.	Я раньше уже работал с Томом.
You should be more careful the next time.	В следующий раз тебе следует быть осторожней.
Tom can't speak.	Том не может говорить.
I felt that I needed to do something.	Я чувствовал, что мне нужно что-то сделать.
I've told them all about you.	Я им всё про тебя рассказал.
Please don't leave me here with Tom.	Пожалуйста, не оставляй меня здесь с Томом.
Didn't you know Tom lived in Australia when he was a child?	Ты не знал, что в детстве Том жил в Австралии?
I retired when I was sixty years old.	Я вышел на пенсию, когда мне было шестьдесят.
Tom often reads in bed.	Том часто читает в постели.
I don't think anyone could do that.	Не думаю, что кто-то мог бы это сделать.
I studied in Boston from 2003 to 2007.	Я учился в Бостоне с 2003 по 2007 год.
I don't want to be late for work.	Я не хочу опоздать на работу.
Stop making such a fuss!	Прекрати эту суету!
Which car do you like more?	Какая машина вам больше нравится?
I'm unlikely to forget how to do that.	Вряд ли я забуду, как это делать.
I'm not very happy.	Я не очень счастлив.
Step away from the car.	Отойдите от машины.
How are things?	Ну как дела?
He's so thin that he looks like a skeleton.	Он такой худой, что на скелет похож.
That's a horse of a different colour.	Это совсем другой коленкор.
We're not millionaires.	Мы не миллионеры.
It's normal to be worried.	Беспокоиться — это нормально.
What time are they starting?	Во сколько они начинают?
You should return home before it gets dark.	Возвращайся домой, прежде чем стемнеет.
I was really drunk.	Я был здорово пьян.
Have you all lost your minds?	Вы все свихнулись?
He took a short cut.	Он пошёл напрямик.
Could you give me a little help?	Ты не могла бы мне чуть пособить?
Tom knew I'd be on time.	Том знал, что я буду вовремя.
I thought you wanted to get married.	Я думала, ты хочешь выйти замуж.
You should put an ice pack on your ankle to keep the swelling down.	Нужно приложить к щиколотке пакет со льдом, чтобы уменьшить отёк.
He swam across the river.	Он плыл через реку.
You can tell us.	Можете нам сказать.
I called them.	Я им звонил.
Thank you for your invitation.	Спасибо тебе за приглашение.
I don't want Tom to go to Australia without me.	Я не хочу, чтобы Том ехал в Австралию без меня.
I know you'll never do that.	Я знаю, что ты никогда этого не сделаешь.
He also needs many workers.	Ему тоже нужно много рабочих.
Mother is making tea for us.	Мама делает нам чай.
The baby cannot walk yet.	Малыш пока не может ходить.
His family is very large.	У него очень большая семья.
A stray dog followed Tom home and he decided to keep it.	Бездомная собака шла за Томом до самого дома, и он решил оставить её у себя.
What time are you coming back?	Во сколько вы возвращаетесь?
Let's eat before we go.	Давай поедим, прежде чем поедем.
I have good kids.	У меня хорошие дети.
The dictionary is on the desk.	Словарь лежит на письменном столе.
It isn't yet time.	Ещё не пора.
You'll regret it someday.	Когда-нибудь ты об этом пожалеешь.
I used to work for a small company in Boston.	Когда-то я работал в небольшой компании в Бостоне.
The custom was handed down from generation to generation.	Этот обычай передавался из поколения в поколение.
There is no antidote.	Противоядия нет.
What's Tom's favorite cocktail?	Какой у Тома любимый коктейль?
Let's play catch.	Давайте играть в мяч.
If Tom comes, please tell me.	Если Том придёт, скажи мне, пожалуйста.
Tom and Mary don't love each other anymore.	Том и Мария больше не любят друг друга.
